nome_personagem,nivel,raca,classe,forca,destreza,constituicao,sabedoria,inteligencia,carisma
Karlach Ravengard,7,Humano,Druida,13,16,17,17,13,8
Danis Swiftfoot,6,Orc,Bardo,11,8,11,16,15,17
Ragzlin Spellweaver,3,Gnomo,Monge,12,13,15,11,12,10
Gale Ravengard,10,Halfling,Ladino,13,8,17,15,12,11
Sarevok Windrunner,3,Humano,Bardo,12,10,9,10,14,11
Abdirak Shadowdancer,2,Orc,Bardo,14,17,16,11,17,13
Bhaal Hallowtide,11,Meio-Elfo,Ladino,16,12,8,17,12,8
Blurg Brightwood,6,Tiefling,Ladino,17,17,9,11,16,8
Danis Del'Vyre,4,Githyanki,Feiticeiro,14,14,9,13,13,9
Ragzlin Firebrand,5,Githyanki,Bardo,14,17,18,16,14,11
Gortash Shadowdancer,3,Gnomo,Bruxo,11,15,13,13,19,14
Dror Stormwind,6,Meio-Elfo,Paladino,8,19,14,8,15,13
Karlach Bloodaxe,11,Humano,Bruxo,15,16,10,12,12,18
Aradin Del'Vyre,12,Meio-Elfo,Guerreiro,11,13,18,16,18,16
Karlach Moonbreeze,3,Orc,Mago,8,18,16,12,11,14
Sarevok Brightwood,8,Elfo,Paladino,12,16,12,13,19,19
Bhaal Hallowtide,9,Halfling,Clérigo,15,15,12,10,15,12
Abdirak Brightwood,4,Dragonborn,Druida,11,16,18,15,19,13
Abdirak Silverfrond,9,Halfling,Feiticeiro,19,17,19,17,17,17
Bex Stormwind,12,Humano,Mago,15,11,11,18,16,16
Kagha Ravengard,7,Meio-Elfo,Bruxo,15,16,16,11,8,8
Omeluum Silverfrond,3,Halfling,Feiticeiro,10,14,15,11,10,18
Mizora Dekarios,7,Tiefling,Ladino,16,12,19,18,19,16
Aradin Anchev,1,Halfling,Feiticeiro,10,12,11,19,11,13
Blurg Shadowdancer,3,Orc,Bardo,8,8,11,12,14,19
Cora Brightwood,6,Halfling,Bruxo,9,9,9,17,13,11
Minthara Brightwood,4,Tiefling,Clérigo,13,17,16,16,17,19
Karlach Cliffgate,7,Dragonborn,Guerreiro,19,10,10,15,17,12
Omeluum Ironfist,3,Dragonborn,Clérigo,17,15,11,14,18,8
Raphael Windrunner,1,Tiefling,Clérigo,9,13,14,12,8,14
Zevlor Sunstrider,9,Meio-Elfo,Bruxo,13,19,17,16,11,15
Minthara Windrunner,6,Elfo,Ladino,8,17,15,16,13,18
Alfira Ansur,8,Humano,Paladino,18,18,15,17,10,12
Dammon Dekarios,3,Gnomo,Feiticeiro,8,12,11,17,9,9
Astarion Silverfrond,8,Githyanki,Mago,12,8,14,9,9,15
Karlach Starseeker,2,Meio-Elfo,Ladino,17,19,17,11,17,17
Wyll Silverfrond,12,Halfling,Patrulheiro,18,18,8,15,19,14
Bhaal Silverfrond,4,Githyanki,Feiticeiro,16,19,13,8,19,17
Brem Anchev,3,Githyanki,Bruxo,15,16,13,12,11,16
Bhaal Brightwood,10,Tiefling,Druida,10,10,13,15,8,11
Shadowheart Sunstrider,1,Anão,Clérigo,10,10,19,9,17,18
Dror Stoutbeard,7,Elfo,Druida,8,9,9,9,9,16
Dammon Hallowtide,11,Elfo,Mago,10,11,15,15,17,11
Nere Dekarios,10,Anão,Clérigo,19,19,12,17,9,10
Barcus Stormwind,2,Humano,Guerreiro,19,9,12,19,11,18
Brem Del'Vyre,4,Anão,Guerreiro,19,16,9,16,11,10
Sarevok Cliffgate,9,Gnomo,Mago,18,19,11,14,8,17
Voss Moonbreeze,6,Gnomo,Clérigo,8,17,19,15,14,9
Mizora Moonbreeze,8,Tiefling,Monge,15,14,16,12,14,17
Mizora Stonefoot,2,Halfling,Patrulheiro,8,15,16,8,17,10
Blurg Stoutbeard,7,Githyanki,Feiticeiro,12,10,13,11,18,15
Sarevok Windrunner,6,Elfo,Feiticeiro,16,13,18,9,17,18
Gale Windrunner,9,Elfo,Monge,14,17,16,10,17,15
Astarion Ansur,7,Anão,Paladino,11,13,11,19,8,9
Mizora Dekarios,1,Anão,Paladino,18,8,18,10,18,18
Rath Stonefoot,8,Anão,Bardo,16,13,8,16,15,9
Minthara Ironfist,11,Humano,Paladino,16,10,9,17,17,9
Ragzlin Del'Vyre,10,Anão,Ladino,9,18,8,11,14,17
Ketheric Silverfrond,3,Halfling,Bardo,17,10,15,9,14,14
Sarevok Nightbreeze,2,Githyanki,Guerreiro,17,10,16,10,18,13
Zevlor Spellweaver,12,Meio-Elfo,Feiticeiro,18,17,17,10,13,19
Shadowheart Windrunner,3,Meio-Elfo,Ladino,19,18,19,14,19,18
Voss Windrunner,11,Halfling,Clérigo,13,18,13,15,11,8
Cora Swiftfoot,6,Orc,Mago,11,17,9,18,18,9
Elminster Stonefoot,3,Gnomo,Mago,15,18,13,13,15,8
Abdirak Moonbreeze,10,Meio-Elfo,Patrulheiro,19,15,16,11,9,19
Jaheira Firebrand,5,Humano,Guerreiro,18,12,19,13,14,18
Ragzlin Stonefoot,6,Orc,Patrulheiro,14,11,10,18,10,14
Abdirak Swiftfoot,8,Dragonborn,Monge,14,16,16,8,10,13
Minthara Bloodaxe,7,Humano,Bruxo,18,16,9,17,14,9
Abdirak Silverfrond,11,Elfo,Guerreiro,17,8,18,15,19,9
Raphael Ravengard,8,Meio-Elfo,Druida,16,9,12,8,10,9
Halsin Cliffgate,3,Gnomo,Paladino,12,15,18,12,12,15
Wyll Sunstrider,4,Anão,Bardo,13,12,9,9,15,14
Viconia Anchev,6,Anão,Monge,8,14,14,13,11,8
Ragzlin Windrunner,11,Githyanki,Paladino,13,8,18,16,14,11
Omeluum Spellweaver,7,Gnomo,Bardo,9,19,17,12,14,18
Roah Dekarios,9,Elfo,Mago,13,17,16,11,9,11
Bex Bloodaxe,1,Tiefling,Ladino,16,19,14,9,15,14
Omeluum Swiftfoot,8,Meio-Elfo,Mago,15,12,19,19,17,9
Minthara Del'Vyre,8,Githyanki,Monge,16,18,12,10,19,11
Blurg Nightbreeze,6,Gnomo,Mago,17,19,11,13,17,8
Minsc Del'Vyre,4,Dragonborn,Mago,15,10,19,15,16,18
Brem Firebrand,3,Humano,Mago,10,17,11,15,13,18
Voss Cliffgate,11,Elfo,Guerreiro,15,19,17,12,12,11
Voss Spellweaver,3,Gnomo,Monge,13,19,15,12,8,18
Omeluum Moonbreeze,6,Meio-Elfo,Patrulheiro,13,9,17,17,8,8
Volothamp Windrunner,8,Humano,Mago,13,9,17,10,16,9
Kagha Goldseeker,7,Gnomo,Mago,10,16,17,14,11,9
Dammon Sunstrider,11,Halfling,Bardo,17,11,17,13,8,19
Brem Ironfist,1,Githyanki,Ladino,8,11,17,8,18,17
Cora Nightbreeze,11,Gnomo,Mago,19,14,8,11,17,19
Dammon Dekarios,6,Halfling,Patrulheiro,11,17,12,13,19,10
Blurg Cliffgate,7,Humano,Patrulheiro,17,17,9,18,10,15
Sarevok Ansur,12,Humano,Ladino,19,9,18,13,13,18
Ketheric Goldseeker,7,Humano,Ladino,13,10,16,18,18,13
Cora Starseeker,9,Tiefling,Monge,18,10,14,19,18,13
Roah Shadowdancer,11,Gnomo,Ladino,19,13,17,19,15,16
Voss Firebrand,11,Halfling,Druida,17,10,15,10,17,15
Aradin Spellweaver,10,Anão,Feiticeiro,9,18,13,13,9,9
Elminster Stoutbeard,5,Dragonborn,Monge,14,12,16,19,15,13
Barcus Moonbreeze,1,Dragonborn,Clérigo,14,11,13,17,8,8
Roah Windrunner,2,Halfling,Mago,18,10,14,13,18,16
Danis Stonefoot,4,Anão,Feiticeiro,11,15,14,19,9,11
Ketheric Swiftfoot,5,Elfo,Patrulheiro,11,17,16,16,15,11
Alfira Firebrand,9,Tiefling,Clérigo,8,10,18,16,14,16
Omeluum Brightwood,11,Halfling,Mago,9,13,15,9,12,10
Sarevok Anchev,1,Meio-Elfo,Feiticeiro,16,14,8,11,17,12
Alfira Ravengard,3,Githyanki,Patrulheiro,17,14,11,16,9,8
Sarevok Cliffgate,5,Githyanki,Patrulheiro,15,9,14,11,16,13
Minsc Hallowtide,3,Orc,Bardo,15,10,18,15,12,10
Halsin Stonefoot,4,Dragonborn,Monge,16,19,15,17,15,8
Dror Nightbreeze,3,Humano,Feiticeiro,14,17,14,19,11,17
Gortash Ansur,4,Meio-Elfo,Bruxo,16,17,19,10,16,13
Zevlor Starseeker,1,Elfo,Bardo,17,11,10,10,17,19
Alfira Hallowtide,12,Anão,Clérigo,19,14,11,16,14,17
Bhaal Goldseeker,8,Elfo,Paladino,9,9,19,18,9,9
Karlach Nightbreeze,4,Dragonborn,Monge,13,10,14,17,10,15
Voss Moonbreeze,7,Humano,Ladino,10,14,15,15,9,18
Sarevok Shadowdancer,2,Anão,Feiticeiro,18,14,14,8,12,19
Roah Shadowdancer,2,Halfling,Paladino,13,17,13,17,9,9
Bex Ironfist,6,Orc,Clérigo,10,10,16,9,12,11
Omeluum Stonefoot,2,Anão,Feiticeiro,15,19,16,10,16,10
Cora Dekarios,6,Dragonborn,Mago,18,8,18,18,9,16
Bhaal Silverfrond,11,Elfo,Feiticeiro,11,19,14,9,16,9
Kagha Hallowtide,2,Githyanki,Guerreiro,19,10,15,10,14,10
Kagha Dekarios,4,Elfo,Bruxo,17,12,13,15,14,14
Gortash Firebrand,7,Elfo,Bardo,13,14,8,18,12,11
Zevlor Darkweaver,8,Elfo,Mago,16,11,8,18,15,13
Karlach Brightwood,3,Orc,Clérigo,9,18,13,19,14,10
Voss Ironfist,9,Dragonborn,Monge,9,18,9,13,13,8
Cora Stoutbeard,2,Meio-Elfo,Clérigo,14,8,15,14,9,18
Ragzlin Ansur,8,Orc,Paladino,9,13,8,17,13,13
Viconia Starseeker,8,Orc,Guerreiro,9,9,9,17,9,11
Volothamp Nightbreeze,4,Dragonborn,Paladino,11,19,15,13,8,9
Sarevok Sunstrider,1,Tiefling,Monge,16,10,19,8,16,14
Minsc Stoutbeard,1,Orc,Feiticeiro,15,11,13,18,12,17
Minthara Silverfrond,2,Anão,Patrulheiro,9,13,19,10,17,19
Elminster Windrunner,12,Tiefling,Paladino,15,13,17,8,17,12
Sazza Dekarios,9,Dragonborn,Druida,11,14,9,19,11,13
Halsin Stoutbeard,2,Gnomo,Patrulheiro,9,12,9,17,19,13
Ketheric Del'Vyre,2,Gnomo,Ladino,18,14,18,19,18,16
Rath Brightwood,6,Meio-Elfo,Mago,17,9,14,16,15,19
Minsc Anchev,7,Halfling,Feiticeiro,14,8,12,16,12,9
Nere Anchev,7,Orc,Monge,13,19,12,12,14,19
Shadowheart Silverfrond,9,Elfo,Clérigo,17,17,15,11,10,13
Karlach Firebrand,6,Halfling,Feiticeiro,12,15,19,19,15,16
Ragzlin Starseeker,8,Halfling,Ladino,18,8,19,16,15,19
Blurg Moonbreeze,11,Tiefling,Paladino,8,19,14,16,10,11
Sazza Dekarios,6,Anão,Mago,9,9,19,10,16,19
Alfira Stoutbeard,2,Gnomo,Patrulheiro,15,18,16,12,15,18
Jaheira Brightwood,1,Githyanki,Druida,8,19,11,10,8,13
Astarion Starseeker,5,Anão,Patrulheiro,10,17,17,17,15,14
Danis Ravengard,9,Gnomo,Bardo,9,13,11,9,19,8
Elminster Sunstrider,8,Githyanki,Monge,12,8,9,8,18,12
Halsin Goldseeker,4,Orc,Patrulheiro,11,17,10,19,11,11
Roah Stormwind,5,Humano,Guerreiro,14,10,8,17,13,17
Wyll Ironfist,5,Dragonborn,Monge,12,14,8,9,17,9
Omeluum Firebrand,6,Humano,Bardo,15,19,14,15,16,9
Lae'zel Windrunner,3,Anão,Monge,11,15,12,18,12,9
Zevlor Brightwood,5,Meio-Elfo,Monge,19,11,10,15,14,14
Alfira Spellweaver,2,Anão,Druida,13,19,14,10,8,18
Kagha Moonbreeze,10,Tiefling,Druida,11,10,9,14,16,18
Nere Hallowtide,1,Githyanki,Clérigo,9,8,10,14,13,11
Minthara Swiftfoot,11,Githyanki,Patrulheiro,8,19,8,9,18,13
Abdirak Nightbreeze,1,Orc,Paladino,8,16,15,16,11,14
Alfira Nightbreeze,10,Humano,Paladino,15,17,9,10,13,16
Kagha Swiftfoot,7,Orc,Druida,11,13,14,9,12,18
Gale Silverfrond,2,Humano,Mago,12,13,18,19,10,9
Ketheric Darkweaver,4,Githyanki,Mago,18,16,16,10,14,17
Dror Ironfist,5,Anão,Mago,15,8,13,9,10,19
Barcus Silverfrond,7,Meio-Elfo,Feiticeiro,19,13,9,15,9,16
Dror Stonefoot,2,Githyanki,Mago,14,19,9,12,11,18
Jaheira Stoutbeard,6,Halfling,Ladino,15,12,16,10,14,12
Kagha Stoutbeard,1,Gnomo,Paladino,15,18,17,12,12,13
Astarion Dekarios,7,Humano,Mago,13,13,15,18,16,13
Gale Firebrand,9,Humano,Bardo,17,18,16,18,17,18
Ketheric Ironfist,5,Tiefling,Paladino,9,15,11,15,14,10
Dror Ironfist,5,Orc,Monge,13,12,11,14,19,18
Roah Ansur,4,Dragonborn,Patrulheiro,8,9,9,13,16,18
Mizora Spellweaver,3,Dragonborn,Monge,8,19,17,8,16,17
Sazza Firebrand,9,Tiefling,Paladino,18,19,8,17,19,14
Lae'zel Goldseeker,5,Githyanki,Clérigo,10,9,17,8,9,14
Dammon Cliffgate,8,Humano,Guerreiro,10,17,11,8,8,15
Bex Sunstrider,9,Elfo,Druida,18,12,17,17,18,12
Bhaal Windrunner,5,Meio-Elfo,Paladino,12,10,17,15,11,9
Bex Nightbreeze,10,Halfling,Feiticeiro,8,17,18,15,11,10
Viconia Firebrand,9,Anão,Bruxo,17,10,15,14,9,16
Blurg Brightwood,2,Anão,Mago,13,15,9,13,10,13
Omeluum Bloodaxe,9,Dragonborn,Guerreiro,14,14,19,11,10,15
Voss Stormwind,11,Dragonborn,Druida,17,8,18,8,12,15
Alfira Spellweaver,4,Tiefling,Ladino,19,19,15,16,8,12
Barcus Stormwind,6,Humano,Ladino,18,19,8,8,16,8
Volothamp Ravengard,6,Orc,Bruxo,10,12,8,11,15,13
Gortash Goldseeker,6,Anão,Feiticeiro,11,16,11,10,15,14
Orin Goldseeker,2,Humano,Bardo,17,11,14,14,10,16
Zevlor Brightwood,7,Halfling,Monge,18,8,16,12,9,9
Astarion Ironfist,6,Meio-Elfo,Patrulheiro,17,15,12,12,8,19
Gale Sunstrider,11,Meio-Elfo,Monge,19,12,9,11,19,9
Bhaal Windrunner,1,Anão,Druida,17,9,19,8,13,17
Cora Ansur,2,Elfo,Paladino,17,19,14,12,17,8
Viconia Stormwind,7,Tiefling,Monge,17,8,18,11,8,12
Sarevok Cliffgate,1,Anão,Clérigo,10,19,9,17,18,9
Minthara Anchev,1,Halfling,Monge,8,19,16,15,12,10
Dammon Firebrand,1,Elfo,Mago,15,19,16,9,16,9
Bhaal Stonefoot,8,Gnomo,Monge,17,10,10,15,18,18
Jaheira Bloodaxe,4,Githyanki,Bruxo,17,16,15,8,16,11
Sazza Ravengard,4,Dragonborn,Ladino,9,8,18,11,19,18
Sarevok Cliffgate,2,Dragonborn,Feiticeiro,8,11,11,10,11,10
Brem Cliffgate,11,Elfo,Mago,15,15,10,12,14,16
Dror Windrunner,11,Anão,Druida,14,15,8,12,18,17
Jaheira Stormwind,11,Dragonborn,Clérigo,14,17,12,12,14,19
Dror Bloodaxe,1,Humano,Bardo,11,19,18,19,11,9
Omeluum Swiftfoot,12,Dragonborn,Monge,18,18,11,11,12,14
Abdirak Bloodaxe,10,Meio-Elfo,Paladino,16,18,8,15,18,18
Jaheira Silverfrond,9,Dragonborn,Feiticeiro,13,15,17,10,16,10
Dror Del'Vyre,7,Gnomo,Feiticeiro,9,17,15,19,14,17
Dror Cliffgate,4,Tiefling,Clérigo,8,15,15,11,14,15
Blurg Stoutbeard,12,Elfo,Ladino,8,11,15,8,17,11
Omeluum Moonbreeze,6,Humano,Feiticeiro,16,15,10,14,14,11
Nere Silverfrond,2,Gnomo,Mago,11,16,13,8,16,16
Elminster Ironfist,7,Meio-Elfo,Patrulheiro,12,14,19,9,12,18
Minsc Moonbreeze,2,Anão,Bruxo,10,19,19,18,13,10
Mizora Ansur,10,Githyanki,Clérigo,11,9,14,14,10,14
Barcus Spellweaver,8,Meio-Elfo,Bardo,19,16,16,8,8,8
Ketheric Shadowdancer,8,Elfo,Bardo,15,18,12,18,18,14
Dror Ironfist,1,Elfo,Guerreiro,11,15,16,10,19,17
Ragzlin Silverfrond,8,Elfo,Bardo,16,12,13,13,9,18
Ketheric Stormwind,2,Gnomo,Bruxo,16,19,17,13,15,9
Voss Ironfist,6,Elfo,Druida,13,10,17,13,8,19
Lae'zel Moonbreeze,1,Tiefling,Druida,9,14,17,18,17,13
Volothamp Cliffgate,5,Tiefling,Feiticeiro,19,9,11,9,14,16
Karlach Brightwood,11,Tiefling,Feiticeiro,17,10,8,9,12,13
Roah Shadowdancer,7,Elfo,Feiticeiro,18,19,8,13,13,10
Shadowheart Dekarios,10,Tiefling,Mago,14,16,17,17,15,8
Minthara Del'Vyre,1,Orc,Clérigo,16,11,12,12,11,19
Aradin Shadowdancer,2,Dragonborn,Druida,13,11,10,14,13,19
Karlach Sunstrider,7,Dragonborn,Bardo,10,10,12,14,18,11
Mizora Nightbreeze,6,Elfo,Clérigo,14,12,12,12,10,11
Astarion Moonbreeze,3,Halfling,Bardo,12,10,8,15,14,15
Volothamp Ironfist,10,Gnomo,Bardo,8,16,15,17,9,17
Dammon Ravengard,2,Githyanki,Patrulheiro,10,10,12,13,19,17
Viconia Nightbreeze,10,Gnomo,Druida,12,9,12,12,15,14
Bex Stormwind,4,Orc,Monge,14,19,16,11,14,17
Abdirak Darkweaver,3,Gnomo,Patrulheiro,10,12,15,14,19,14
Roah Starseeker,7,Orc,Clérigo,13,13,8,11,19,14
Danis Starseeker,8,Orc,Guerreiro,12,8,10,12,15,19
Nere Cliffgate,2,Gnomo,Clérigo,8,19,19,12,9,9
Ketheric Windrunner,10,Githyanki,Guerreiro,17,18,14,8,10,16
Mizora Stormwind,7,Orc,Feiticeiro,13,13,8,8,19,13
Raphael Cliffgate,8,Tiefling,Monge,15,17,8,10,11,9
Voss Dekarios,6,Humano,Clérigo,8,10,12,18,19,8
Astarion Moonbreeze,6,Humano,Patrulheiro,9,11,16,10,16,18
Bex Darkweaver,10,Anão,Bruxo,11,13,13,9,19,8
Lae'zel Anchev,1,Elfo,Clérigo,19,15,17,19,19,8
Dror Spellweaver,4,Meio-Elfo,Monge,9,16,9,9,12,11
Elminster Ironfist,1,Tiefling,Patrulheiro,18,13,18,13,13,11
Karlach Ironfist,4,Tiefling,Clérigo,16,14,16,8,8,19
Zevlor Stonefoot,2,Meio-Elfo,Paladino,17,12,13,13,11,16
Karlach Shadowdancer,11,Elfo,Bardo,15,19,12,12,11,19
Sazza Anchev,5,Humano,Mago,15,16,12,13,17,19
Gale Anchev,10,Githyanki,Patrulheiro,11,11,19,12,15,8
Cora Starseeker,9,Orc,Guerreiro,12,17,10,14,15,10
Blurg Stoutbeard,11,Meio-Elfo,Ladino,11,18,13,8,17,10
Blurg Silverfrond,12,Githyanki,Feiticeiro,16,13,11,10,13,15
Minthara Swiftfoot,10,Anão,Feiticeiro,9,12,19,13,15,9
Minthara Stoutbeard,3,Orc,Ladino,18,8,17,8,16,13
Alfira Dekarios,8,Gnomo,Druida,15,12,9,18,12,18
Elminster Firebrand,3,Tiefling,Bardo,9,12,10,18,8,11
Bex Ansur,6,Orc,Ladino,8,16,16,14,8,17
Gortash Ironfist,4,Gnomo,Guerreiro,17,8,18,11,9,13
Minsc Hallowtide,8,Humano,Paladino,10,12,18,10,9,12
Astarion Spellweaver,11,Gnomo,Druida,16,14,16,17,12,19
Ketheric Goldseeker,6,Gnomo,Feiticeiro,19,18,13,16,14,16
Wyll Sunstrider,8,Halfling,Mago,10,13,17,8,14,16
Astarion Stormwind,1,Meio-Elfo,Druida,16,13,17,15,11,8
Rath Windrunner,6,Orc,Clérigo,14,19,16,8,11,10
Dammon Windrunner,1,Meio-Elfo,Bardo,17,14,11,12,18,8
Raphael Moonbreeze,1,Orc,Patrulheiro,8,13,18,17,17,13
Dror Brightwood,8,Tiefling,Druida,17,12,12,15,10,19
Zevlor Ravengard,7,Dragonborn,Patrulheiro,12,17,17,13,18,10
Jaheira Swiftfoot,3,Meio-Elfo,Mago,16,12,13,14,9,8
Kagha Dekarios,6,Meio-Elfo,Monge,19,16,16,18,10,13
Abdirak Ravengard,9,Tiefling,Bruxo,10,15,12,15,15,12
Raphael Swiftfoot,7,Orc,Monge,16,19,15,13,8,19
Gale Ironfist,12,Tiefling,Ladino,12,17,18,18,11,19
Sarevok Stonefoot,3,Githyanki,Clérigo,16,11,8,13,14,15
Astarion Sunstrider,6,Gnomo,Bardo,17,11,12,18,12,9
Karlach Swiftfoot,11,Tiefling,Bardo,13,17,17,13,9,15
Aradin Stoutbeard,4,Orc,Ladino,16,12,8,12,8,19
Aradin Anchev,3,Humano,Paladino,14,10,17,15,13,12
Elminster Starseeker,9,Tiefling,Patrulheiro,14,15,13,9,12,15
Cora Stoutbeard,10,Elfo,Bardo,15,14,14,14,10,19
Orin Shadowdancer,2,Tiefling,Monge,14,12,19,11,18,17
Blurg Windrunner,1,Meio-Elfo,Paladino,19,17,12,8,18,11
Bex Ravengard,2,Githyanki,Paladino,16,10,8,12,18,11
Gortash Nightbreeze,7,Halfling,Patrulheiro,18,12,13,10,16,17
Shadowheart Del'Vyre,10,Tiefling,Ladino,16,10,17,11,10,11
Viconia Moonbreeze,1,Dragonborn,Druida,13,17,12,14,9,18
Kagha Silverfrond,6,Elfo,Bruxo,14,12,13,12,12,13
Sazza Silverfrond,7,Humano,Bardo,9,8,18,11,16,11
Raphael Swiftfoot,9,Tiefling,Guerreiro,16,13,17,8,15,16
Sazza Dekarios,8,Gnomo,Monge,19,17,14,13,13,16
Raphael Brightwood,6,Gnomo,Mago,8,11,14,18,10,10
Volothamp Windrunner,3,Elfo,Bruxo,8,11,9,17,13,14
Aradin Sunstrider,8,Meio-Elfo,Patrulheiro,10,15,19,13,12,19
Orin Starseeker,7,Anão,Clérigo,19,9,10,14,8,12
Nere Anchev,3,Meio-Elfo,Bardo,13,11,19,8,12,19
Raphael Darkweaver,9,Elfo,Paladino,12,9,13,11,14,16
Sazza Ansur,12,Meio-Elfo,Ladino,9,8,10,19,16,9
Mizora Nightbreeze,2,Gnomo,Bardo,16,17,9,16,19,10
Brem Hallowtide,3,Githyanki,Guerreiro,17,10,11,19,8,17
Orin Spellweaver,2,Anão,Ladino,11,19,12,17,10,12
Aradin Del'Vyre,1,Gnomo,Paladino,11,15,18,13,15,19
Elminster Goldseeker,4,Humano,Druida,12,13,17,9,13,12
Karlach Goldseeker,5,Gnomo,Paladino,15,19,16,11,12,17
Ragzlin Stonefoot,6,Meio-Elfo,Druida,17,14,10,13,17,19
Wyll Del'Vyre,5,Githyanki,Druida,11,9,10,11,9,14
Minthara Del'Vyre,1,Anão,Ladino,12,13,13,17,10,15
Elminster Spellweaver,3,Tiefling,Bruxo,19,15,12,14,19,15
Minthara Hallowtide,1,Anão,Bardo,11,15,13,19,9,8
Elminster Bloodaxe,11,Gnomo,Guerreiro,13,11,14,10,8,8
Barcus Spellweaver,5,Tiefling,Patrulheiro,19,13,18,13,14,10
Brem Stormwind,5,Elfo,Paladino,10,12,10,19,10,8
Karlach Silverfrond,12,Orc,Bardo,15,16,12,11,14,8
Raphael Goldseeker,11,Gnomo,Druida,13,15,15,10,19,17
Lae'zel Goldseeker,6,Dragonborn,Druida,17,9,11,19,14,15
Shadowheart Stonefoot,8,Gnomo,Paladino,12,19,17,10,15,8
Ketheric Stormwind,10,Elfo,Druida,9,14,9,9,8,16
Viconia Dekarios,12,Anão,Clérigo,17,14,11,18,12,9
Cora Ansur,1,Humano,Patrulheiro,17,18,9,10,17,16
Bhaal Stormwind,4,Tiefling,Bardo,14,19,10,19,16,14
Zevlor Ansur,10,Dragonborn,Mago,9,8,11,17,19,16
Viconia Silverfrond,11,Orc,Mago,8,8,11,8,18,10
Bhaal Goldseeker,1,Elfo,Ladino,14,19,17,10,14,8
Jaheira Goldseeker,9,Orc,Paladino,12,11,16,16,8,8
Wyll Starseeker,11,Halfling,Druida,8,12,17,11,15,18
Rath Swiftfoot,7,Dragonborn,Ladino,11,11,13,10,10,17
Wyll Ironfist,7,Dragonborn,Monge,19,14,16,15,11,13
Roah Brightwood,12,Halfling,Mago,11,10,11,8,11,14
Gale Brightwood,5,Dragonborn,Bruxo,17,14,16,12,17,16
Dammon Ravengard,7,Gnomo,Ladino,14,15,18,8,19,13
Gale Ansur,12,Halfling,Bruxo,16,13,16,14,15,12
Nere Spellweaver,2,Anão,Druida,9,13,13,12,8,9
Ragzlin Windrunner,4,Halfling,Monge,19,15,12,9,15,9
Dammon Anchev,7,Anão,Druida,8,15,10,19,16,15
Alfira Sunstrider,3,Humano,Monge,9,14,12,8,16,8
Bex Silverfrond,2,Meio-Elfo,Monge,14,13,10,18,12,15
Karlach Brightwood,10,Dragonborn,Monge,17,13,12,14,11,18
Volothamp Dekarios,2,Tiefling,Clérigo,13,17,12,19,11,17
Dror Ravengard,1,Tiefling,Feiticeiro,11,18,9,8,16,18
Danis Ironfist,5,Meio-Elfo,Monge,8,13,16,10,15,14
Bex Sunstrider,12,Githyanki,Clérigo,8,15,14,18,17,14
Lae'zel Darkweaver,6,Gnomo,Druida,12,8,13,13,17,12
Astarion Stonefoot,6,Dragonborn,Clérigo,8,12,12,13,19,10
Karlach Del'Vyre,9,Dragonborn,Bardo,19,10,11,14,14,14
Sarevok Moonbreeze,4,Meio-Elfo,Bruxo,14,19,15,18,19,14
Abdirak Darkweaver,1,Anão,Monge,18,15,9,18,10,14
Raphael Darkweaver,6,Gnomo,Guerreiro,8,18,15,8,11,19
Gortash Silverfrond,5,Elfo,Patrulheiro,8,13,8,14,16,18
Abdirak Hallowtide,10,Tiefling,Ladino,9,9,17,9,15,9
Nere Firebrand,6,Elfo,Druida,18,14,8,13,19,10
Minsc Starseeker,3,Halfling,Paladino,19,14,10,15,19,10
Abdirak Hallowtide,2,Anão,Bruxo,17,12,12,12,8,11
Danis Stoutbeard,6,Githyanki,Bruxo,10,15,13,17,10,19
Aradin Ravengard,1,Elfo,Paladino,18,12,11,10,19,16
Elminster Stonefoot,7,Tiefling,Ladino,8,8,14,18,17,17
Abdirak Bloodaxe,7,Tiefling,Bruxo,16,16,14,15,9,8
Omeluum Dekarios,10,Tiefling,Clérigo,17,11,9,15,9,19
Astarion Starseeker,7,Humano,Bardo,15,9,9,11,15,14
Jaheira Swiftfoot,12,Dragonborn,Mago,12,11,9,15,13,14
Voss Goldseeker,11,Elfo,Clérigo,18,16,9,12,19,18
Orin Firebrand,10,Halfling,Monge,9,9,16,18,19,11
Danis Stormwind,1,Elfo,Bruxo,12,11,12,12,19,18
Gortash Goldseeker,4,Halfling,Clérigo,13,9,18,10,13,8
Abdirak Silverfrond,7,Tiefling,Mago,8,12,15,14,11,10
Dror Stoutbeard,11,Gnomo,Bardo,18,10,12,18,8,12
Cora Brightwood,9,Halfling,Druida,11,17,18,18,18,19
Gortash Shadowdancer,5,Anão,Bardo,16,9,12,16,14,9
Brem Darkweaver,2,Dragonborn,Guerreiro,9,16,8,16,15,14
Shadowheart Shadowdancer,7,Dragonborn,Clérigo,12,12,13,8,9,17
Abdirak Hallowtide,10,Humano,Paladino,8,17,11,8,9,17
Gortash Bloodaxe,1,Orc,Monge,11,12,10,17,8,14
Halsin Bloodaxe,7,Elfo,Bardo,11,8,13,19,11,19
Gale Nightbreeze,6,Meio-Elfo,Ladino,13,13,9,19,13,17
Cora Dekarios,7,Humano,Clérigo,17,14,15,18,12,12
Volothamp Firebrand,10,Meio-Elfo,Druida,16,8,8,12,11,19
