nome_personagem,classe,raca,nivel,forca,destreza,constituicao,inteligencia,sabedoria,carisma
Personagem_393,Guerreiro,Githyanki,1.0,17.0,12,14,10,12,11
Personagem_394,Patrulheiro,Draconato,4.0,11.0,17,14,14,14,7
Personagem_395,Feiticeiro,Elfo,6.0,9.0,12,12,9,8,16
Personagem_396,Bardo,Anão,6.0,6.0,16,10,11,7,18
Personagem_397,Mago,Draconato,7.0,7.0,14,11,16,11,10
Personagem_398,Feiticeiro,Anão,1.0,5.0,150,12,8,7,16
Personagem_399,Feiticeiro,Anão,4.0,7.0,11,16,9,12,17
Personagem_400,Ladino,Elfo,3.0,11.0,15,12,14,9,14
Personagem_401,Druida,Halfling,9.0,9.0,10,15,11,17,9
Personagem_402,Guerreiro,Anão,,,15,16,8,10,16
Personagem_403,Druida,Humano,6.0,9.0,12,15,6,20,7
Personagem_404,Clérigo,Elfo,6.0,13.0,9,12,7,17,14
Personagem_405,Ladino,Tiefling,7.0,10.0,15,13,9,11,14
Personagem_406,Mago,Tiefling,7.0,9.0,14,17,17,10,11
Personagem_407,Druida,Tiefling,8.0,9.0,12,12,11,15,11
Personagem_408,Bruxo,Halfling,4.0,8.0,12,16,9,9,19
Personagem_409,Paladino,Halfling,3.0,16.0,7,14,11,12,16
Personagem_410,Clérigo,Humano,3.0,12.0,7,11,7,20,13
Personagem_411,Bardo,Tiefling,1.0,7.0,17,11,10,12,16
Personagem_412,Mago,Humano,1.0,9.0,18,13,17,11,10
Personagem_413,Clérigo,Elfo,5.0,10.0,11,11,9,18,11
Personagem_414,Paladino,Tiefling,5.0,15.0,10,13,7,14,15
Personagem_415,Ladino,Elfo,7.0,7.0,16,9,14,8,10
Personagem_416,Paladino,Humano,13.0,,9,17,7,12,15
Personagem_417,Feiticeiro,Elfo,6.0,4.0,13,13,10,8,15
Personagem_418,Paladino,Halfling,9.0,12.0,10,17,11,10,16
Personagem_419,Feiticeiro,Tiefling,5.0,6.0,14,14,13,11,17
Personagem_420,Ladino,Anão,3.0,11.0,15,11,12,11,12
Personagem_421,Monge,Githyanki,6.0,13.0,16,12,7,16,8
Personagem_422,Feiticeiro,Draconato,,12.0,13,14,11,8,17
Personagem_423,Bardo,Draconato,12.0,9.0,16,10,12,9,14
Personagem_424,Paladino,Anão,5.0,16.0,8,20,11,8,16
Personagem_425,Paladino,Tiefling,10.0,14.0,9,20,8,9,14
Personagem_426,Bardo,Anão,5.0,9.0,13,14,12,10,17
Personagem_427,Bruxo,Draconato,6.0,10.0,14,12,10,11,19
Personagem_428,Guerreiro,Elfo,4.0,17.0,14,15,7,15,11
Personagem_429,Monge,Elfo,7.0,10.0,14,14,7,15,7
Personagem_430,Mago,Halfling,7.0,7.0,12,5,20,12,9
Personagem_431,Feiticeiro,Githyanki,9.0,7.0,16,16,13,10,18
Personagem_432,Bardo,Tiefling,,10.0,16,11,9,8,14
Personagem_433,Ladino,Elfo,9.0,4.0,20,15,11,11,13
Personagem_434,Feiticeiro,Draconato,10.0,7.0,15,16,12,12,16
Personagem_435,Guerreiro,Halfling,2.0,18.0,15,15,9,9,13
Personagem_436,Ladino,Anão,7.0,6.0,12,11,12,12,11
Personagem_437,Clérigo,Elfo,6.0,13.0,8,13,8,19,11
Personagem_438,Paladino,   anão,10.0,13.0,10,15,14,13,16
Personagem_439,Clérigo,Humano,12.0,13.0,8,12,10,17,15
Personagem_440,Feiticeiro,Elfo,9.0,10.0,16,12,9,6,12
Personagem_441,Guerreiro,Humano,6.0,18.0,11,15,10,16,11
Personagem_442,Monge,Humano,3.0,10.0,13,11,7,18,11
Personagem_443,Feiticeiro,Anão,7.0,8.0,13,16,7,11,16
Personagem_444,Bardo,Elfo,10.0,4.0,19,12,11,9,15
Personagem_445,Druida,Humano,13.0,11.0,13,12,11,20,6
Personagem_446,Feiticeiro,Draconato,7.0,9.0,15,15,14,14,15
Personagem_447,Paladino,Anão,5.0,18.0,12,16,7,11,19
Personagem_448,Paladino,Anão,1.0,14.0,6,15,10,10,16
Personagem_449,Feiticeiro,Halfling,6.0,8.0,13,14,6,8,15
Personagem_450,Ladino,Halfling,8.0,8.0,19,12,9,11,12
Personagem_451,Druida,Elfo,4.0,11.0,13,10,11,15,11
Personagem_452,Bardo,Draconato,4.0,12.0,16,15,11,13,20
Personagem_453,Feiticeiro,Humano,9.0,10.0,15,11,9,9,13
Personagem_454,Ladino,Halfling,4.0,5.0,15,10,15,9,12
Personagem_455,Paladino,Halfling,8.0,16.0,9,16,10,11,13
Personagem_456,Paladino,Humano,4.0,17.0,150,15,11,11,17
Personagem_457,Guerreiro,Draconato,9.0,18.0,10,18,9,9,9
Personagem_458,Feiticeiro,Halfling,4.0,5.0,10,15,13,8,13
Personagem_459,Druida,HUMANO,3.0,5.0,11,15,11,14,9
Personagem_460,Bruxo,Githyanki,7.0,8.0,12,14,11,10,18
Personagem_461,Druida,Githyanki,7.0,9.0,12,15,9,18,12
Personagem_462,Paladino,Halfling,7.0,17.0,8,14,11,11,18
Personagem_463,Paladino,Draconato,,14.0,9,17,9,10,16
Personagem_464,Clérigo,Humano,6.0,11.0,9,14,15,16,9
Personagem_465,Paladino,Humano,5.0,12.0,7,13,10,10,19
Personagem_466,Bardo,Elfo,10.0,6.0,15,14,9,5,19
Personagem_467,Mago,Humano,7.0,11.0,11,12,17,12,11
Personagem_468,Feiticeiro,Anão,5.0,7.0,14,12,13,8,16
Personagem_469,Druida,Elfo,4.0,7.0,13,12,10,20,10
Personagem_470,Mago,Halfling,5.0,8.0,13,15,20,8,12
Personagem_471,Ladino,Anão,1.0,13.0,18,11,12,10,11
Personagem_472,Bruxo,Humano,6.0,9.0,11,12,8,13,17
Personagem_473,Bardo,Draconato,5.0,3.0,17,12,11,9,18
Personagem_474,Patrulheiro,,12.0,13.0,15,14,10,19,7
Personagem_475,Druida,Tiefling,6.0,8.0,13,15,12,16,7
Personagem_476,Mago,Halfling,1.0,6.0,15,12,18,11,7
Personagem_477,Bruxo,Humano,4.0,7.0,9,12,9,9,18
Personagem_478,Clérigo,Humano,1.0,12.0,12,12,11,19,11
Personagem_479,Bardo,Draconato,9.0,7.0,12,13,13,15,14
Personagem_480,Bardo,Anão,,9.0,14,7,12,12,14
Personagem_481,Clérigo,Anão,8.0,10.0,10,16,11,19,14
Personagem_482,Patrulheiro,Elfo,4.0,13.0,15,11,11,13,7
Personagem_483,Feiticeiro,Tiefling,5.0,7.0,15,15,9,12,16
Personagem_484,Clérigo,Githyanki,3.0,17.0,8,16,10,17,11
Personagem_485,Bardo,Elfo,5.0,11.0,13,11,12,10,17
Personagem_486,Bardo,Humano,3.0,9.0,16,11,12,8,17
Personagem_487,Mago,Humano,2.0,8.0,12,12,20,15,14
Personagem_488,Paladino,Halfling,11.0,16.0,9,13,8,11,17
Personagem_489,Patrulheiro,Draconato,10.0,11.0,17,9,9,12,13
Personagem_490,Bruxo,Halfling,9.0,10.0,13,14,13,8,18
Personagem_491,Clérigo,Humano,7.0,11.0,8,12,13,19,13
Personagem_492,Bruxo,Githyanki,25.0,9.0,150,14,10,10,19
Personagem_493,Clérigo,Humano,7.0,14.0,15,9,11,15,10
Personagem_494,Ladino,HUMANO,4.0,8.0,19,13,11,7,9
Personagem_495,Bardo,Draconato,3.0,9.0,14,9,15,7,19
Personagem_496,Paladino,Draconato,2.0,13.0,8,15,9,9,14
Personagem_497,Mago,Githyanki,2.0,7.0,15,13,15,12,6
Personagem_498,Paladino,Anão,9.0,13.0,9,16,7,12,14
Personagem_499,Paladino,Humano,6.0,14.0,9,17,9,15,18
Personagem_500,Paladino,Draconato,6.0,17.0,9,13,5,9,14
Personagem_501,Bruxo,Halfling,10.0,10.0,11,16,12,8,18
Personagem_502,Clérigo,Halfling,5.0,11.0,8,13,7,17,13
Personagem_503,Monge,Githyanki,7.0,11.0,16,12,9,18,6
Personagem_504,Ladino,Humano,11.0,10.0,19,11,11,7,12
Personagem_505,Druida,Anão,4.0,9.0,8,16,9,19,10
Personagem_506,Paladino,Halfling,13.0,15.0,9,13,10,12,15
Personagem_507,Feiticeiro,Draconato,12.0,8.0,14,14,5,11,17
Personagem_508,Bruxo,Githyanki,7.0,12.0,11,12,10,10,15
Personagem_509,Patrulheiro,Draconato,10.0,6.0,19,12,11,16,10
Personagem_510,Mago,Draconato,6.0,7.0,9,11,19,12,10
Personagem_511,Druida,Humano,5.0,9.0,12,15,12,17,11
Personagem_512,Monge,Anão,1.0,8.0,19,15,7,12,6
Personagem_513,Feiticeiro,Githyanki,4.0,6.0,12,15,10,7,16
Personagem_514,Monge,Halfling,8.0,12.0,14,14,8,14,12
Personagem_515,Druida,Githyanki,3.0,9.0,9,15,14,20,11
Personagem_516,Paladino,Elfo,5.0,15.0,11,15,14,11,14
Personagem_517,Feiticeiro,Humano,5.0,8.0,16,13,9,6,16
Personagem_518,Monge,Humano,1.0,15.0,12,11,4,19,7
Personagem_519,Mago,Githyanki,5.0,8.0,11,12,16,9,13
Personagem_520,Clérigo,Githyanki,3.0,14.0,8,14,12,15,7
Personagem_521,Bardo,Elfo,10.0,12.0,13,11,9,10,19
Personagem_522,Clérigo,Draconato,1.0,13.0,11,13,6,17,16
Personagem_523,Druida,Tiefling,,8.0,11,15,11,14,9
Personagem_524,Bruxo,Halfling,5.0,9.0,12,17,10,8,17
Personagem_525,Bardo,Humano,5.0,8.0,15,11,10,6,15
Personagem_526,Ladino,Draconato,7.0,10.0,17,15,14,10,12
Personagem_527,Mago,Halfling,6.0,7.0,15,13,15,12,12
Personagem_528,Ladino,Halfling,2.0,10.0,15,7,14,11,9
Personagem_529,Feiticeiro,Elfo,1.0,7.0,17,16,10,8,17
Personagem_530,Bardo,Anão,5.0,8.0,16,11,11,10,16
Personagem_531,Ladino,Elfo,6.0,6.0,16,10,13,11,9
Personagem_532,Ladino,Humano,10.0,9.0,16,13,11,11,14
Personagem_533,Monge,Anão,3.0,11.0,15,14,9,13,7
Personagem_534,Clérigo, elfo ,4.0,12.0,12,14,10,17,12
Personagem_535,Monge,Tiefling,5.0,9.0,15,14,8,15,9
Personagem_536,Bardo,Githyanki,4.0,7.0,14,10,12,13,18
Personagem_537,Bardo,Tiefling,6.0,8.0,14,12,11,10,16
Personagem_538,Druida,Draconato,7.0,7.0,15,12,13,16,11
Personagem_539,Monge,Draconato,5.0,8.0,11,12,9,15,8
Personagem_540,Guerreiro,Elfo,6.0,16.0,14,16,8,12,13
Personagem_541,Patrulheiro,Elfo,10.0,11.0,16,14,10,14,7
Personagem_542,Clérigo,Humano,6.0,12.0,7,16,7,16,9
Personagem_543,Bardo,Halfling,10.0,6.0,14,11,10,13,14
Personagem_544,Druida,Elfo,5.0,6.0,12,12,10,15,12
Personagem_545,Monge,Humano,7.0,7.0,19,12,10,14,9
Personagem_546,Clérigo,Humano,2.0,13.0,7,13,12,14,11
Personagem_547,Monge,   anão,1.0,5.0,16,13,8,15,15
Personagem_548,Ladino,Elfo,5.0,9.0,15,14,10,8,14
Personagem_549,Druida,Halfling,12.0,5.0,11,16,10,12,6
Personagem_550,Clérigo,Anão,,,12,14,8,12,13
Personagem_551,Paladino,Anão,9.0,18.0,13,15,9,13,13
Personagem_552,Feiticeiro,Draconato,8.0,11.0,12,10,10,10,18
Personagem_553,Feiticeiro,Humano,9.0,5.0,13,11,15,10,14
Personagem_554,Clérigo,Githyanki,17.0,9.0,8,10,10,18,12
Personagem_555,Monge,Anão,3.0,12.0,14,16,7,11,7
Personagem_556,Druida,Anão,5.0,8.0,13,13,8,17,9
Personagem_557,Patrulheiro,Anão,4.0,9.0,14,12,8,15,9
Personagem_558,Feiticeiro,draconato,3.0,9.0,14,12,11,9,17
Personagem_559,Druida,Elfo,1.0,9.0,13,14,8,16,8
Personagem_560,Feiticeiro,Draconato,1.0,7.0,14,14,11,10,17
Personagem_561,Ladino,Anão,1.0,11.0,17,15,11,4,12
Personagem_562,Monge,Elfo,9.0,11.0,15,13,8,17,8
Personagem_563,Ladino,Tiefling,3.0,10.0,15,11,12,15,13
Personagem_564,Feiticeiro,Tiefling,1.0,9.0,14,10,8,11,17
Personagem_565,Paladino, elfo ,6.0,12.0,5,14,12,11,14
Personagem_566,Paladino,,9.0,20.0,10,13,11,13,19
Personagem_567,Ladino,Humano,2.0,10.0,17,9,12,11,11
Personagem_568,Paladino,Elfo,9.0,14.0,11,15,9,14,14
Personagem_569,Feiticeiro,Tiefling,8.0,6.0,14,14,13,8,20
Personagem_570,Clérigo,Tiefling,4.0,13.0,13,14,7,14,14
Personagem_571,Ladino,Githyanki,9.0,9.0,18,8,12,8,16
Personagem_572,Patrulheiro,Anão,8.0,13.0,18,13,7,13,12
Personagem_573,Patrulheiro,Elfo,7.0,13.0,17,12,9,17,10
Personagem_574,Bruxo,Githyanki,3.0,7.0,14,15,11,12,14
Personagem_575,Monge,Githyanki,2.0,13.0,14,10,6,14,5
Personagem_576,Paladino,Humano,4.0,17.0,7,15,8,13,13
Personagem_577,Paladino,Halfling,5.0,13.0,10,13,9,9,17
Personagem_578,Bardo,Tiefling,6.0,,11,10,9,10,20
Personagem_579,Guerreiro,Halfling,12.0,16.0,13,17,10,11,9
Personagem_580,Ladino,Githyanki,6.0,13.0,16,13,11,10,16
Personagem_581,Mago,Humano,6.0,8.0,15,14,19,11,8
Personagem_582,Paladino,Anão,3.0,16.0,10,15,10,8,14
Personagem_583,Monge,Anão,7.0,8.0,19,13,5,15,9
Personagem_584,Bruxo,Humano,3.0,12.0,13,11,11,12,16
Personagem_585,Patrulheiro,Halfling,,,19,14,8,17,8
Personagem_586,Paladino,Githyanki,5.0,13.0,8,13,8,10,17
Personagem_587,Bruxo,Tiefling,6.0,7.0,14,14,10,8,16
Personagem_588,Feiticeiro,Halfling,11.0,5.0,14,14,8,8,17
Personagem_589,Feiticeiro,,8.0,6.0,13,10,7,10,15
Personagem_590,Guerreiro,Humano,9.0,16.0,10,20,10,10,10
Personagem_591,Clérigo,Elfo,6.0,13.0,8,14,13,15,14
Personagem_592,Mago,Draconato,10.0,6.0,13,13,20,9,11
Personagem_593,Bardo,Tiefling,9.0,7.0,15,13,10,9,16
Personagem_594,Guerreiro,Anão,8.0,17.0,15,14,12,11,10
Personagem_595,Druida,Humano,5.0,8.0,10,13,11,15,8
Personagem_596,Bardo, elfo ,8.0,8.0,12,11,15,5,15
Personagem_597,Ladino,Anão,6.0,10.0,14,9,15,8,15
Personagem_598,Monge,Anão,6.0,10.0,13,10,5,16,8
Personagem_599,Druida,Draconato,13.0,8.0,10,17,11,19,7
Personagem_600,Druida,Elfo,6.0,11.0,12,14,10,17,7
Personagem_601,Guerreiro,Githyanki,4.0,18.0,7,15,6,9,9
Personagem_602,Clérigo,,5.0,9.0,12,11,9,17,11
Personagem_603,Guerreiro,Humano,6.0,18.0,17,17,12,7,14
Personagem_604,Ladino,Halfling,1.0,8.0,20,11,14,9,14
Personagem_605,Patrulheiro,Draconato,6.0,8.0,15,15,12,14,8
Personagem_606,Paladino,Githyanki,12.0,12.0,6,17,7,10,19
Personagem_607,Paladino,Humano,5.0,18.0,12,14,11,6,17
Personagem_608,Clérigo,Githyanki,3.0,17.0,9,13,8,14,9
Personagem_609,Ladino,Anão,4.0,9.0,18,14,8,12,11
Personagem_610,Clérigo,Githyanki,5.0,16.0,11,13,9,14,14
Personagem_611,Bruxo,Anão,6.0,7.0,17,14,10,10,15
Personagem_612,Paladino,Halfling,5.0,17.0,10,14,8,8,12
Personagem_613,Druida,Humano,9.0,12.0,10,12,8,18,11
Personagem_614,Mago,Githyanki,5.0,7.0,15,11,17,13,10
Personagem_615,Monge,Anão,4.0,10.0,14,11,10,15,9
Personagem_616,Ladino,Elfo,4.0,8.0,15,13,10,10,12
Personagem_617,Bardo,Humano,2.0,10.0,17,13,15,8,18
Personagem_618,Clérigo,Elfo,6.0,11.0,7,11,14,15,13
Personagem_619,Monge,Halfling,6.0,7.0,14,15,6,17,9
Personagem_620,Bardo,Draconato,5.0,7.0,16,12,13,9,15
Personagem_621,Monge,Elfo,3.0,10.0,15,12,9,16,8
Personagem_622,Mago,Draconato,10.0,8.0,11,14,16,11,7
Personagem_623,Bardo,Githyanki,6.0,8.0,13,8,7,13,20
Personagem_624,Guerreiro,Tiefling,4.0,14.0,11,19,9,11,10
Personagem_625,Feiticeiro,Humano,,7.0,13,13,12,12,16
Personagem_626,Guerreiro,Draconato,9.0,14.0,13,17,8,12,8
Personagem_627,Paladino,Githyanki,10.0,16.0,7,15,12,10,15
Personagem_628,Feiticeiro,Draconato,11.0,4.0,12,12,11,10,14
Personagem_629,Guerreiro,Elfo,4.0,16.0,14,15,9,8,13
Personagem_630,Feiticeiro,Draconato,12.0,10.0,11,13,8,10,18
Personagem_631,Patrulheiro,Elfo,5.0,12.0,15,12,13,15,8
Personagem_632,Feiticeiro,Anão,4.0,5.0,12,16,10,8,18
Personagem_633,Druida,Elfo,8.0,13.0,9,7,11,17,8
Personagem_634,Clérigo,Tiefling,6.0,14.0,9,13,12,18,9
Personagem_635,Clérigo,Draconato,5.0,14.0,7,14,7,14,10
Personagem_636,Druida,HUMANO,7.0,6.0,9,11,12,15,9
Personagem_637,Monge,Draconato,5.0,9.0,15,15,8,17,9
Personagem_638,Bruxo,,7.0,4.0,14,19,11,7,14
Personagem_639,Monge,Elfo,5.0,9.0,13,12,9,16,8
Personagem_640,Bardo,Halfling,10.0,8.0,12,12,13,10,15
Personagem_641,Bardo,Anão,10.0,6.0,14,15,8,12,16
Personagem_642,Feiticeiro,Anão,6.0,5.0,17,13,11,10,17
Personagem_643,Guerreiro,Tiefling,2.0,,16,17,7,9,10
Personagem_644,Guerreiro,Humano,4.0,14.0,13,13,9,11,11
Personagem_645,Clérigo,Anão,5.0,15.0,11,14,9,17,13
Personagem_646,Ladino,Halfling,4.0,7.0,18,12,11,6,13
Personagem_647,Monge,Tiefling,4.0,,16,7,5,15,9
Personagem_648,Patrulheiro,Elfo,5.0,10.0,17,11,7,18,9
Personagem_649,Paladino,Tiefling,6.0,16.0,13,14,11,11,18
Personagem_650,Mago,Githyanki,5.0,6.0,12,15,13,9,10
Personagem_651,Guerreiro,Tiefling,6.0,14.0,17,15,9,12,8
Personagem_652,Mago,Anão,3.0,7.0,15,12,19,13,12
Personagem_653,Feiticeiro,Humano,8.0,10.0,9,11,11,13,14
Personagem_654,Mago, elfo ,5.0,5.0,14,10,14,10,10
Personagem_655,Paladino,Humano,6.0,12.0,8,15,7,11,17
Personagem_656,Druida,Draconato,9.0,7.0,10,12,13,18,8
Personagem_657,Paladino,Tiefling,1.0,19.0,10,11,7,6,13
Personagem_658,Mago,Halfling,6.0,7.0,15,14,15,10,5
Personagem_659,Paladino,Halfling,5.0,14.0,8,14,9,8,15
Personagem_660,Bruxo,Anão,6.0,7.0,13,10,11,6,18
Personagem_661,Feiticeiro,Draconato,8.0,10.0,14,12,11,9,17
Personagem_662,Monge,Anão,3.0,10.0,16,14,11,16,12
Personagem_663,Druida,Draconato,9.0,4.0,10,12,8,16,9
Personagem_664,Patrulheiro,Elfo,8.0,14.0,16,12,7,13,8
Personagem_665,Guerreiro,Githyanki,6.0,16.0,13,14,8,11,8
Personagem_666,Bardo,Humano,1.0,7.0,13,8,9,10,15
Personagem_667,Monge,,5.0,9.0,15,15,8,13,5
Personagem_668,Bardo,Githyanki,6.0,8.0,17,9,10,12,12
Personagem_669,Feiticeiro,Humano,1.0,9.0,14,14,9,8,20
Personagem_670,Druida,Elfo,1.0,8.0,11,13,13,17,10
Personagem_671,Clérigo,Tiefling,1.0,14.0,11,15,8,16,8
Personagem_672,Guerreiro,HUMANO,9.0,18.0,14,17,9,15,7
Personagem_673,Bruxo,Elfo,1.0,8.0,10,13,9,8,19
Personagem_674,Clérigo,Humano,2.0,12.0,9,14,10,16,8
Personagem_675,Feiticeiro,Githyanki,7.0,7.0,14,16,8,9,18
Personagem_676,Monge,Tiefling,10.0,11.0,19,8,9,20,9
Personagem_677,Bruxo,Elfo,11.0,8.0,13,14,15,9,16
Personagem_678,Paladino,Elfo,4.0,15.0,11,14,8,11,13
Personagem_679,Mago,Anão,9.0,8.0,12,15,16,8,6
Personagem_680,Bruxo,Tiefling,5.0,8.0,12,15,9,9,19
Personagem_681,Patrulheiro,Githyanki,5.0,12.0,13,9,14,18,5
Personagem_682,Feiticeiro,Githyanki,6.0,4.0,17,16,11,9,18
Personagem_683,Ladino,Elfo,3.0,4.0,14,13,8,7,12
Personagem_684,Mago,Draconato,4.0,11.0,15,11,15,11,7
Personagem_685,Bardo,Elfo,14.0,8.0,14,9,14,8,20
Personagem_686,Guerreiro,Githyanki,3.0,15.0,11,19,7,14,10
Personagem_687,Bardo,Anão,3.0,4.0,17,9,12,12,17
Personagem_688,Bruxo,Githyanki,25.0,6.0,14,14,15,11,18
Personagem_689,Bardo,Anão,12.0,9.0,14,14,13,8,15
Personagem_690,Patrulheiro,Halfling,2.0,11.0,18,10,11,13,12
Personagem_691,Feiticeiro,Anão,3.0,9.0,9,12,9,10,20
Personagem_692,Paladino,Githyanki,11.0,14.0,8,17,10,12,15
Personagem_693,Monge,Anão,2.0,11.0,14,11,7,13,8
Personagem_694,Guerreiro,Githyanki,2.0,17.0,12,14,7,8,10
Personagem_695,Patrulheiro,Tiefling,5.0,9.0,14,11,10,11,10
Personagem_696,Patrulheiro,Tiefling  ,6.0,9.0,15,14,8,17,7
Personagem_697,Bardo,Halfling,9.0,6.0,12,17,14,9,17
Personagem_698,Bardo,Tiefling,4.0,9.0,16,9,13,3,17
Personagem_699,Bruxo,Elfo,11.0,8.0,12,10,10,12,16
Personagem_700,Monge,Githyanki,5.0,10.0,17,15,10,12,11
Personagem_701,Clérigo,Anão,8.0,10.0,8,14,6,14,14
Personagem_702,Bardo,Tiefling,6.0,7.0,11,12,14,15,17
Personagem_703,Feiticeiro,Draconato,4.0,10.0,15,10,9,9,17
Personagem_704,Ladino,Tiefling,6.0,9.0,15,10,11,9,14
Personagem_705,Guerreiro,Githyanki,12.0,14.0,12,14,10,9,11
Personagem_706,Bardo,Anão,8.0,7.0,18,15,12,11,16
Personagem_707,Feiticeiro,,5.0,7.0,14,15,10,9,12
Personagem_708,Feiticeiro,Draconato,8.0,7.0,12,11,9,7,16
Personagem_709,Guerreiro,Tiefling  ,8.0,13.0,14,15,10,11,13
Personagem_710,Clérigo,Draconato,10.0,11.0,10,13,7,16,12
Personagem_711,Feiticeiro,Tiefling,5.0,10.0,15,19,10,9,16
Personagem_712,Ladino,Humano,7.0,8.0,18,12,10,8,13
Personagem_713,Feiticeiro,Draconato,11.0,10.0,10,12,5,8,18
Personagem_714,Feiticeiro,Draconato,5.0,4.0,14,11,9,11,18
Personagem_715,Feiticeiro,Tiefling,9.0,5.0,14,16,9,11,11
Personagem_716,Paladino,Elfo,9.0,16.0,12,14,6,14,17
Personagem_717,Paladino,Githyanki,5.0,15.0,13,10,11,9,13
Personagem_718,Clérigo,   anão,10.0,14.0,11,18,8,19,10
Personagem_719,Bardo,Anão,1.0,10.0,13,9,7,9,14
Personagem_720,Feiticeiro,Humano,6.0,10.0,9,15,7,10,19
Personagem_721,Monge,Humano,3.0,10.0,16,12,8,17,10
Personagem_722,Bardo,Tiefling  ,7.0,6.0,16,11,13,10,13
Personagem_723,Clérigo,Humano,10.0,13.0,8,13,10,13,12
Personagem_724,Druida,Elfo,5.0,8.0,13,13,9,16,8
Personagem_725,Bardo,HUMANO,1.0,10.0,13,11,9,7,17
Personagem_726,Bardo,Draconato,7.0,9.0,16,12,6,6,16
Personagem_727,Mago,Tiefling,5.0,9.0,13,14,15,12,11
Personagem_728,Bruxo,Elfo,7.0,10.0,150,12,12,9,12
Personagem_729,Mago,Elfo,5.0,11.0,15,15,17,12,9
Personagem_730,Ladino,Halfling,5.0,,15,13,15,9,14
Personagem_731,Paladino,Anão,6.0,18.0,10,18,7,8,15
Personagem_732,Paladino,Halfling,1.0,16.0,11,10,13,10,11
Personagem_733,Bruxo,Draconato,11.0,6.0,9,14,8,6,17
Personagem_734,Guerreiro,Anão,8.0,17.0,13,16,5,12,12
Personagem_735,Guerreiro,Elfo,7.0,19.0,10,18,13,9,7
Personagem_736,Clérigo,Tiefling,5.0,10.0,13,12,10,17,13
Personagem_737,Patrulheiro,Elfo,3.0,10.0,13,12,13,17,10
Personagem_738,Bruxo,Elfo,5.0,8.0,14,13,7,10,13
Personagem_739,Bardo,Humano,5.0,7.0,14,11,12,12,19
Personagem_740,Guerreiro,Githyanki,13.0,17.0,15,15,8,8,9
Personagem_741,Feiticeiro,Humano,5.0,11.0,13,16,12,10,14
Personagem_742,Patrulheiro,Halfling,6.0,8.0,16,7,10,15,11
Personagem_743,Monge,Humano,6.0,9.0,18,14,10,16,8
Personagem_744,Bardo,Draconato,6.0,10.0,15,12,9,6,17
Personagem_745,Ladino,Draconato,6.0,3.0,11,15,10,9,13
Personagem_746,Feiticeiro,Githyanki,5.0,11.0,13,13,9,9,15
Personagem_747,Feiticeiro,Tiefling,5.0,7.0,14,16,9,8,14
Personagem_748,Bruxo,Tiefling,5.0,7.0,11,14,10,8,14
Personagem_749,Patrulheiro,Githyanki,8.0,12.0,14,11,9,17,6
Personagem_750,Clérigo,Humano,4.0,12.0,9,12,9,14,9
Personagem_751,Ladino,Tiefling,4.0,10.0,17,13,12,11,13
Personagem_752,Guerreiro,Tiefling  ,7.0,17.0,15,14,13,12,11
Personagem_753,Bruxo,Tiefling,11.0,13.0,14,14,10,9,19
Personagem_754,Guerreiro,Tiefling,6.0,18.0,11,18,8,6,8
Personagem_755,Bruxo,Tiefling,10.0,7.0,14,9,13,7,15
Personagem_756,Bruxo,Draconato,8.0,9.0,12,12,10,7,13
Personagem_757,Bruxo,Humano,11.0,8.0,10,12,11,10,16
Personagem_758,Patrulheiro,,1.0,12.0,16,8,8,16,6
Personagem_759,Clérigo,Humano,3.0,9.0,12,9,11,15,14
Personagem_760,Bruxo,Humano,3.0,8.0,13,14,12,12,17
Personagem_761,Druida,Draconato,6.0,10.0,10,15,8,20,10
Personagem_762,Monge,Tiefling,7.0,10.0,19,16,10,14,9
Personagem_763,Guerreiro,Githyanki,5.0,17.0,17,12,10,8,9
Personagem_764,Bardo,Githyanki,5.0,10.0,11,10,9,7,16
Personagem_765,Mago,Tiefling,6.0,6.0,14,11,18,11,12
Personagem_766,Ladino,Draconato,8.0,12.0,20,13,13,6,16
Personagem_767,Paladino,Draconato,9.0,20.0,9,14,8,12,17
Personagem_768,Clérigo,Halfling,1.0,11.0,11,13,9,16,7
Personagem_769,Bardo,Githyanki,10.0,13.0,15,12,10,6,15
Personagem_770,Feiticeiro,Elfo,5.0,9.0,13,11,12,9,20
Personagem_771,Druida,Halfling,9.0,8.0,10,15,10,18,7
Personagem_772,Paladino,Humano,7.0,15.0,11,16,5,11,11
Personagem_773,Mago,Githyanki,3.0,6.0,12,17,11,11,13
Personagem_774,Bardo,Draconato,6.0,8.0,16,10,10,6,18
Personagem_775,Paladino,Tiefling,5.0,14.0,8,16,10,8,14
Personagem_776,Bardo,Halfling,4.0,10.0,11,12,11,9,15
Personagem_777,Druida,Halfling,10.0,8.0,10,12,11,16,10
Personagem_778,Mago,Anão,11.0,9.0,12,10,13,14,9
Personagem_779,Feiticeiro,Anão,8.0,10.0,16,14,10,8,18
Personagem_780,Bruxo,Githyanki,11.0,9.0,15,15,8,12,16
Personagem_781,Guerreiro,Humano,5.0,19.0,12,14,11,8,8
Personagem_782,Feiticeiro,Draconato,3.0,7.0,11,14,8,13,16
Personagem_783,Bruxo,Tiefling,3.0,9.0,11,16,9,7,12
Personagem_784,Patrulheiro,Anão,6.0,10.0,15,11,11,15,8
Personagem_785,Patrulheiro,Tiefling,4.0,10.0,15,15,7,10,6
