area_m2,quartos,distancia_km,valor_aluguel
82.2,3,4.76,1698.24
66.1,1,17.47,700.6
83.4,3,8.59,1355.2
28.0,1,9.01,404.43
84.6,2,8.22,1561.57
28.0,2,0.91,603.75
31.9,1,4.27,400.0
86.3,3,6.98,1509.8
86.9,2,4.52,1345.45
45.9,1,0.3,695.24
57.2,2,0.56,1020.15
109.3,3,14.08,1509.45
62.9,3,8.51,1072.2
131.1,4,8.13,1802.18
75.0,3,12.96,1320.76
85.2,3,7.28,1562.76
115.4,4,22.73,1855.86
78.3,2,14.12,1060.83
49.9,2,1.9,1068.87
72.3,2,2.48,1392.32
74.1,2,4.46,1285.91
40.9,2,1.85,958.2
68.6,3,11.74,1350.7
56.4,2,1.16,1200.05
98.1,3,5.35,1658.58
75.9,3,8.2,1349.68
67.9,2,5.36,1020.38
72.3,2,1.77,1240.15
80.6,3,4.11,1454.06
90.4,4,0.92,1692.22
50.0,1,4.38,897.68
49.0,2,4.85,1122.67
102.6,3,4.18,1626.82
64.7,2,4.73,1238.47
39.6,2,1.69,665.88
86.1,3,20.26,1205.73
86.6,3,7.75,1428.35
36.7,1,5.82,611.98
80.7,3,6.51,1393.86
93.4,3,2.87,1859.04
84.4,3,15.5,1301.39
90.8,3,0.92,1627.35
39.9,2,0.3,670.38
83.3,3,6.67,1558.68
67.4,2,5.22,1356.26
62.9,1,2.37,1123.48
96.8,4,23.78,1755.28
112.0,4,7.48,2123.79
119.9,4,4.34,1993.62
107.9,4,9.4,1785.81
72.3,3,1.06,1587.11
83.8,3,2.5,1492.12
94.2,4,1.34,2063.57
78.0,3,1.41,1631.49
78.3,2,9.06,1310.87
95.6,5,3.8,2090.83
